Company name,CIK,Bankruptcy,Bankruptcy chapter,Form type,Date,URL
AMERITRANS CAPITAL CORP,0001064015,False,-1,8-K,05/01/2013,https://www.sec.gov/Archives/edgar/data/1064015/000139843213000324/0001398432-13-000324.txt
AMPAL-AMERICAN ISRAEL CORP,0000731859,False,-1,8-K,04/12/2013,https://www.sec.gov/Archives/edgar/data/731859/000095013813000186/0000950138-13-000186.txt
AMPAL-AMERICAN ISRAEL CORP,0000731859,True,11,8-K,08/31/2012,https://www.sec.gov/Archives/edgar/data/731859/000117891312002478/0001178913-12-002478.txt
AMPEX CORP /DE/,0000887433,True,11,8-K,10/09/2008,https://www.sec.gov/Archives/edgar/data/887433/000119312508208536/0001193125-08-208536.txt
AMPEX CORP /DE/,0000887433,True,11,8-K,08/06/2008,https://www.sec.gov/Archives/edgar/data/887433/000119312508168066/0001193125-08-168066.txt
AMPEX CORP /DE/,0000887433,True,11,8-K,07/18/2008,https://www.sec.gov/Archives/edgar/data/887433/000119312508153401/0001193125-08-153401.txt
AMPEX CORP /DE/,0000887433,True,11,8-K,06/12/2008,https://www.sec.gov/Archives/edgar/data/887433/000119312508132719/0001193125-08-132719.txt
AMPEX CORP /DE/,0000887433,True,11,8-K,06/05/2008,https://www.sec.gov/Archives/edgar/data/887433/000119312508128613/0001193125-08-128613.txt
AMPEX CORP /DE/,0000887433,True,11,8-K,03/31/2008,https://www.sec.gov/Archives/edgar/data/887433/000119312508070168/0001193125-08-070168.txt
AMR CORP,0000006201,True,11,8-K,10/23/2013,https://www.sec.gov/Archives/edgar/data/6201/000119312513408263/0001193125-13-408263.txt
AMR CORP,0000006201,True,11,8-K,11/29/2011,https://www.sec.gov/Archives/edgar/data/6201/000090951811000395/0000909518-11-000395.txt
AMS HEALTH SCIENCES INC,0000841866,False,-1,8-K,02/11/2008,https://www.sec.gov/Archives/edgar/data/841866/000084186608000006/0000841866-08-000006.txt
AMS HEALTH SCIENCES INC,0000841866,True,11,8-K,01/02/2008,https://www.sec.gov/Archives/edgar/data/841866/000084186608000002/0000841866-08-000002.txt
ANCHOR BANCORP WISCONSIN INC,0000885322,True,11,8-K,09/27/2013,https://www.sec.gov/Archives/edgar/data/885322/000134100413000982/0001341004-13-000982.txt
ANCHOR BANCORP WISCONSIN INC,0000885322,True,11,8-K,09/06/2013,https://www.sec.gov/Archives/edgar/data/885322/000134100413000911/0001341004-13-000911.txt
ANCHOR BANCORP WISCONSIN INC,0000885322,True,11,8-K,08/13/2013,https://www.sec.gov/Archives/edgar/data/885322/000134100413000851/0001341004-13-000851.txt
ANCHOR GLASS CONTAINER CORP /NEW,0001052163,True,7,8-K,04/20/2006,https://www.sec.gov/Archives/edgar/data/1052163/000095014406003723/0000950144-06-003723.txt
ANCHOR GLASS CONTAINER CORP /NEW,0001052163,True,11,8-K,08/09/2005,https://www.sec.gov/Archives/edgar/data/1052163/000095014405008511/0000950144-05-008511.txt
ANGIOTECH PHARMACEUTICALS INC,0001096481,False,-1,8-K,02/01/2011,https://www.sec.gov/Archives/edgar/data/1096481/000119312511020430/0001193125-11-020430.txt
"Anpath Group, Inc.",0001310527,True,11,8-K,05/26/2010,https://www.sec.gov/Archives/edgar/data/1310527/000118518510000642/0001185185-10-000642.txt
ANTARES RESOURCES CORP,0000065202,True,11,8-K,08/18/2005,https://www.sec.gov/Archives/edgar/data/65202/000111650205001951/0001116502-05-001951.txt
