Instrument,Instrument Is Active Flag,Cash and Short Term Investments,"Working Capital, Period over Period Average (Pvt)",Company Common Name,Operating Income,Tangible Book Value - Reported,Depreciation And Amortization,Earnings Before Interest & Taxes (EBIT) (Pvt),CIK Number,Total Equity,Tangible Book Value - Utility,Inventories (CF),Price,Net Sales,Pricing Volatility,Retained Earnings (Accumulated Deficit),Accounts Payable (CF),Geographic Earnings Before Interest and Taxes (EBIT),Market Value for Company,Delisted Quote Flag,"Working Capital, Period over Period % Change (Pvt)",Total Current Assets,Total Liabilities,"Total Assets, Reported",Tangible Book Value - Banks,"Net Income/Starting Line, Cumulative",Total Current Liabilities,Market Capitalisation,Stock Price,NAICS Industry Group Name,Tangible Book Value - Insurance,Tangible Book Value Per Share,Net Debt Incl. Pref.Stock & Min.Interest,Cash,Business Earnings Before Interest and Taxes (EBIT),Total Debt,"Total Inventory, 5 Year Compounded Annual Growth Rate (Pvt)"
30822,0.0,15653000.0,,Dynamics Research Corp,13010000.0,37138000.0,0.0,,30822.0,37138000.0,37138000.0,,,190264000.0,,6613000.0,-161000.0,,114340000.0,1.0,,65589000.0,43683000.0,80821000.0,37138000.0,6545000.0,30241000.0,,,Computer Systems Design and Related Services,37138000.0,4.67697,-6403000.0,,,9250000.0,
30822,,1076000.0,,,12647000.0,9574000.0,374000.0,,,39809000.0,9574000.0,,,192610000.0,,12846000.0,-8734000.0,,135830000.0,,,62668000.0,71867000.0,111676000.0,9574000.0,6233000.0,50440000.0,,,,9574000.0,1.17268,22318000.0,,,23394000.0,
30828,0.0,675000.0,,Cobra Electronics Corp,9183000.0,52580000.0,,,30828.0,53972000.0,52580000.0,-3317000.0,,150031000.0,,36329000.0,-465000.0,,41990000.0,1.0,,74812000.0,35620000.0,89592000.0,52580000.0,4685000.0,12529000.0,,,Communications Equipment Manufacturing,52580000.0,8.34199,14703000.0,675000.0,,15378000.0,
30828,,2829000.0,,,3203000.0,53418000.0,,,,55879000.0,53418000.0,1234000.0,,135840000.0,,38049000.0,1357000.0,,48470000.0,,,58589000.0,18903000.0,74782000.0,53418000.0,1720000.0,11445000.0,,,,53418000.0,8.32085,-2829000.0,2829000.0,,0.0,
30831,1.0,172000.0,,Dynasil Corporation of America,-915000.0,887000.0,,,30831.0,887000.0,887000.0,188000.0,,2670000.0,,755000.0,24000.0,,340000.0,0.0,,1136000.0,1357000.0,2241000.0,887000.0,-983000.0,443000.0,,,Commercial and Service Industry Machinery Manufacturing,887000.0,0.3839,944000.0,,,1116000.0,
30831,,323000.0,,,-324000.0,492000.0,,,,492000.0,492000.0,145000.0,,2340000.0,,386000.0,-32000.0,,600000.0,,,1041000.0,1120000.0,1610000.0,492000.0,-369000.0,347000.0,,,,492000.0,0.22866,591000.0,,,914000.0,
701544,0.0,233318000.0,,ECI Telecom Ltd,-330487000.0,652142000.0,10187000.0,,701549.0,754856000.0,652142000.0,95349000.0,,810797000.0,,173567000.0,-92800000.0,,,1.0,,911344000.0,662071000.0,1416927000.0,652142000.0,-412376000.0,380586000.0,,,Communications Equipment Manufacturing,652142000.0,6.9693,128286000.0,,,320030000.0,
701544,,363489000.0,,,-78890000.0,598490000.0,1760000.0,,701544.0,639617000.0,598490000.0,113056000.0,,550434000.0,,-23128000.0,-35217000.0,,,,,783432000.0,508699000.0,1148316000.0,598490000.0,-162468000.0,417207000.0,,,,598490000.0,5.5667,-76721000.0,,,230012000.0,
31791,1.0,138250000.0,,PerkinElmer Inc,129715000.0,-166496000.0,43926000.0,,31791.0,1363557000.0,-166496000.0,-35518000.0,,1525339000.0,,842283000.0,,,1031320000.0,0.0,,943358000.0,1606381000.0,2969938000.0,-166496000.0,34505000.0,755035000.0,,,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",-166496000.0,-1.34068,585859000.0,,,724109000.0,
31791,,130615000.0,,,27504000.0,-190274000.0,28304000.0,,,1252344000.0,-190274000.0,48231000.0,,1500994000.0,,655066000.0,,,2165360000.0,,,988014000.0,1573138000.0,2825482000.0,-190274000.0,-151938000.0,684072000.0,,,,-190274000.0,-1.51186,674929000.0,,,805544000.0,
350846,0.0,193000.0,,Supreme Industries Inc,8055000.0,54137000.0,,,350846.0,55076000.0,54137000.0,5074000.0,,226264000.0,,18532000.0,-205000.0,,46550000.0,1.0,,50761000.0,36533000.0,91609000.0,54137000.0,4912000.0,21349000.0,,,Motor Vehicle Body and Trailer Manufacturing,54137000.0,4.11265,17186000.0,,,17379000.0,
350846,,113000.0,,,5820000.0,58144000.0,,,,59012000.0,58144000.0,2942000.0,,209567000.0,,22113000.0,-1106000.0,,72710000.0,,,48404000.0,28924000.0,87937000.0,58144000.0,3580000.0,19128000.0,,,,58144000.0,4.39107,11914000.0,,,12027000.0,
727008,0.0,24064000.0,,E-Z-EM Inc,1906000.0,81588000.0,,,727008.0,83522000.0,81588000.0,-4230000.0,,122133000.0,,63723000.0,2043000.0,,,1.0,,72254000.0,18759000.0,102281000.0,81588000.0,585000.0,15508000.0,,,Medical Equipment and Supplies Manufacturing,81588000.0,8.17048,-22860000.0,,,1204000.0,
727008,,17965000.0,,,544000.0,87300000.0,,,,88602000.0,87300000.0,-1446000.0,,95683000.0,,66464000.0,-761000.0,,,,,75326000.0,22022000.0,110624000.0,87300000.0,2741000.0,15203000.0,,,,87300000.0,8.64239,-13596000.0,,,4369000.0,
30966,0.0,13000.0,,Matrixx Resource Holdings Inc,-83000.0,-24000.0,,,30966.0,-24000.0,-24000.0,,,0.0,,-210000.0,18000.0,,60000.0,1.0,,13000.0,37000.0,13000.0,-24000.0,-83000.0,37000.0,,,Other Investment Pools and Funds,-24000.0,-1.59046,-13000.0,,,0.0,
30966,,25000.0,,,-516000.0,-316000.0,,,,-316000.0,-316000.0,,,,,-770000.0,148000.0,,1600000.0,,,118000.0,434000.0,118000.0,-316000.0,-716000.0,234000.0,,,,-316000.0,-9.5009,-25000.0,25000.0,,0.0,
31107,1.0,5805000.0,,Eastern Co,6085000.0,27007000.0,,,31107.0,40055000.0,27007000.0,-1485000.0,,82825000.0,,40944000.0,,,40060000.0,0.0,,37041000.0,41841000.0,81895000.0,27007000.0,3913000.0,9910000.0,,,Hardware Manufacturing,27007000.0,4.96107,22598000.0,,,28403000.0,
31107,,6746000.0,,,4667000.0,24165000.0,,,,37903000.0,24165000.0,2192000.0,,81337000.0,,42638000.0,170000.0,,56520000.0,,,36007000.0,38229000.0,76133000.0,24165000.0,3292000.0,10406000.0,,,,24165000.0,4.43574,14804000.0,,,21550000.0,
49600,1.0,1767000.0,,Eastgroup Properties Inc,29818000.0,262175000.0,26963000.0,,49600.0,370710000.0,262175000.0,,,101037000.0,,23753000.0,,,454560000.0,0.0,,,313072000.0,683782000.0,262175000.0,34182000.0,,,,Lessors of Real Estate,262175000.0,16.4765,399579000.0,1767000.0,,291072000.0,
49600,,1383000.0,,,23524000.0,247950000.0,30076000.0,,,356485000.0,247950000.0,,,103198000.0,,7109000.0,,,683910000.0,,,,347252000.0,703737000.0,247950000.0,23626000.0,,,,,247950000.0,15.39645,431211000.0,1383000.0,,322300000.0,
31235,1.0,448000000.0,,Eastman Kodak Co,349000000.0,1946000000.0,153000000.0,,31235.0,2894000000.0,1946000000.0,465000000.0,,13229000000.0,,7431000000.0,,,,0.0,,4617000000.0,10468000000.0,13362000000.0,1946000000.0,76000000.0,5354000000.0,,,Printing and Related Support Activities,1946000000.0,6.6889,2836000000.0,,,3200000000.0,
31235,,569000000.0,,,1150000000.0,1678000000.0,0.0,,,2777000000.0,1678000000.0,93000000.0,,12549000000.0,,7611000000.0,,,,,,4534000000.0,10717000000.0,13494000000.0,1678000000.0,770000000.0,5502000000.0,,,,1678000000.0,5.8685,2107000000.0,,,2606000000.0,
1551182,1.0,311000000.0,,Eaton Corporation PLC,278000000.0,40000000.0,,,1551182.0,2475000000.0,40000000.0,149000000.0,,7299000000.0,,1447000000.0,64000000.0,,5506750000.0,0.0,,2387000000.0,5171000000.0,7646000000.0,40000000.0,169000000.0,1669000000.0,,,Electrical Equipment Manufacturing,40000000.0,0.14388,2129000000.0,112000000.0,,2440000000.0,
1551182,,428000000.0,,,399000000.0,-118000000.0,,,,2302000000.0,-118000000.0,13000000.0,,7209000000.0,,1568000000.0,41000000.0,,8206480000.0,,,2457000000.0,4836000000.0,7138000000.0,-118000000.0,281000000.0,1734000000.0,,,,-118000000.0,-0.41785,1660000000.0,75000000.0,,2088000000.0,
350797,1.0,144078000.0,,Eaton Vance Corp,183923000.0,265539000.0,,,350797.0,372302000.0,265539000.0,,,522985000.0,,374806000.0,,,1959860000.0,0.0,,,244317000.0,616619000.0,265539000.0,121057000.0,,,,Other Financial Investment Activities,265539000.0,1.91705,-11419000.0,,,131261000.0,
