Instrument,Total Debt,Accounts Payable (CF),NAICS Industry Group Name,Inventories (CF),Delisted Quote Flag,Retained Earnings (Accumulated Deficit),Net Debt Incl. Pref.Stock & Min.Interest,Total Current Assets,Total Liabilities,Company Common Name,CIK Number,Total Equity,Tangible Book Value - Banks,Tangible Book Value - Insurance,"Net Income/Starting Line, Cumulative",Tangible Book Value - Reported,Cash and Short Term Investments,Market Value for Company,Tangible Book Value Per Share,Net Sales,Operating Income,Instrument Is Active Flag,Tangible Book Value - Utility,"Total Assets, Reported",Depreciation And Amortization,Total Current Liabilities
1751017,,,,,,,,,,,,,,,,,,,,,,,,,,
1581987,34496000.0,1798000.0,Scientific Research and Development Services,120000.0,0.0,-110503000.0,-45055000.0,84120000.0,56522000.0,Tigenix NV,1581987.0,79679000.0,33095000.0,33095000.0,-3027000.0,33095000.0,79551000.0,266610000.0,0.12731,25395000.0,-3027000.0,0.0,33095000.0,136201000.0,3204000.0,20127000.0
1355128,0.0,-61464000.0,Computer and Peripheral Equipment Manufacturing,41201000.0,1.0,-310663000.0,-12224000.0,65098000.0,52525000.0,ZCO Liquidating Corp,1355128.0,26305000.0,21413000.0,21413000.0,-125786000.0,21413000.0,12224000.0,590000.0,0.31442,333964000.0,-133842000.0,0.0,21413000.0,78830000.0,,48902000.0
1757064,,,,,,,,,,,,,,,,,,,,,,,,,,
1657312,0.0,,Scientific Research and Development Services,,0.0,-26626250.0,-39785100.0,43811150.0,11674360.0,Verona Pharma PLC,1657312.0,34468310.0,32150630.0,32150630.0,-5972580.0,32150630.0,39785100.0,109740000.0,0.62597,,-7020170.0,1.0,32150630.0,46142670.0,61620.0,10872160.0
1156992,0.0,54010.0,Semiconductor and Other Electronic Component Manufacturing,-72520.0,1.0,-43600310.0,-12466260.0,15299300.0,2495510.0,Protonex Technology Corp,1156992.0,22853300.0,14651540.0,14651540.0,-12948760.0,14651540.0,12466260.0,,0.22905,7101440.0,-12810920.0,0.0,14651540.0,25348810.0,,2001800.0
1590560,20236000.0,344000.0,Scientific Research and Development Services,480000.0,0.0,-396058000.0,-112260000.0,143946000.0,126634000.0,Uniqure NV,1590560.0,63631000.0,54842000.0,54842000.0,-73374000.0,54842000.0,132496000.0,603370000.0,2.17132,25098000.0,-71946000.0,1.0,54842000.0,190265000.0,600000.0,22721000.0
1499780,65572000.0,746000.0,"Deep Sea, Coastal, and Great Lakes Water Transportation",-161000.0,0.0,-89254000.0,65409000.0,2149000.0,73236000.0,Globus Maritime Ltd,1499780.0,20760000.0,20760000.0,20760000.0,-9825000.0,20760000.0,163000.0,32260000.0,79.00445,9018000.0,-7228000.0,1.0,20760000.0,93996000.0,5014000.0,31136000.0
1550935,7886876000.0,-142147000.0,Computer Systems Design and Related Services,-64435000.0,0.0,308313000.0,3382794000.0,9034162000.0,11172538000.0,FRONTEO Inc,1550935.0,4986334000.0,-41021000.0,-41021000.0,-1370867000.0,-41021000.0,4536426000.0,27377890000.0,-1.08174,11207730000.0,-1292364000.0,1.0,-41021000.0,16158872000.0,453475000.0,3696999000.0
1496371,1476000.0,,Software Publishers,,0.0,-74653400.0,1431230.0,0.0,3364440.0,Azure Health Technology Ltd,1496371.0,-3364440.0,-3364440.0,-3364440.0,,-3364440.0,0.0,4980000.0,-0.77432,84080.0,-6166890.0,1.0,-3364440.0,0.0,52530.0,3409200.0
